lat,lon,u,v
62.27697579,-6.73403584,0.0,0.0
62.27696984,-6.73401648,0.0,0.0
62.27695785,-6.73397616,0.0,0.0
62.27694419,-6.73393501,0.0,0.0
62.27693782,-6.73391397,-168.0,77.25
62.27692416,-6.73387567,-109.0,129.0
62.27690916,-6.73383937,-102.0,131.75
62.27689449,-6.73380484,-84.0,137.25
62.27688686,-6.73378782,-202.25,96.0
62.27687001,-6.73375731,-100.25,114.0
62.27685266,-6.73372731,-258.6666666666667,165.0
62.2768338,-6.73370367,-159.25,203.5
62.27682433,-6.73369252,-98.75,109.0
62.27680463,-6.73367064,-243.66666666666666,221.33333333333334
62.27678586,-6.73364868,-147.25,166.0
62.27676549,-6.73363033,-163.0,177.0
62.27674487,-6.73360979,-209.5,190.75
62.27673381,-6.73360367,-207.25,251.5
62.27671319,-6.73358615,-169.0,140.4
62.27669215,-6.73357283,-185.2,80.2
62.2766717,-6.73355615,-244.2,156.8
62.2766608,-6.73354936,-120.0,171.2
62.27663867,-6.73353486,-165.0,220.2
62.27661663,-6.73351885,-154.33333333333334,231.33333333333334
62.27660514,-6.73351399,-188.0,222.5
62.27658385,-6.73349932,-160.33333333333334,231.5
62.27656248,-6.73348918,-133.66666666666666,182.16666666666666
62.27654069,-6.73347585,-155.66666666666666,160.5
62.27651814,-6.73346453,-189.16666666666666,226.16666666666666
62.27650699,-6.73345883,-161.16666666666666,226.16666666666666
62.27648386,-6.7334507,-161.66666666666666,252.83333333333334
62.27646114,-6.73344132,-162.66666666666666,200.33333333333334
62.27644983,-6.7334383,-98.66666666666667,133.5
62.2764277,-6.73342966,-161.0,202.85714285714286
62.27640431,-6.73342313,-158.42857142857142,233.14285714285714
62.27639317,-6.73341801,-153.0,207.14285714285714
62.27637003,-6.73340946,-154.66666666666666,193.16666666666666
62.27634614,-6.73339915,-181.16666666666666,264.0
62.27633332,-6.73339404,-115.57142857142857,190.42857142857142
62.27630566,-6.73338046,-163.71428571428572,232.28571428571428
62.27627498,-6.73336487,-203.0,203.28571428571428
62.27625897,-6.73335465,-191.28571428571428,185.0
62.27622469,-6.7333347,-185.28571428571428,184.71428571428572
62.27618982,-6.73331182,-101.0,223.57142857142858
62.27615286,-6.73328918,-219.85714285714286,219.28571428571428
62.27613467,-6.73327586,-141.42857142857142,209.28571428571428
62.2760967,-6.73325331,-140.71428571428572,160.14285714285714
62.27605864,-6.73322666,-105.5,220.625
62.27603886,-6.733215,-146.125,184.125
62.2759993,-6.73318651,-172.625,226.375
62.27595965,-6.73316052,-120.5,139.125
62.27594046,-6.73314569,-127.5,178.0
62.27590148,-6.7331187,-83.875,233.625
62.275862,-6.73308919,-130.125,243.125
62.2758418,-6.73307419,-60.875,219.875
62.27580165,-6.73304435,-157.125,193.875
62.27576234,-6.73301334,-122.875,178.0
62.27574265,-6.73299917,-131.625,202.5
62.27570417,-6.73296799,-128.75,169.375
62.27566436,-6.73293664,-139.125,173.625
62.27564449,-6.7329208,-139.375,193.5
62.27560468,-6.73288819,-147.0,167.375
62.27556604,-6.73285735,-108.0,205.25
62.27554634,-6.73284352,-114.0,191.66666666666666
62.27550619,-6.73281913,-124.66666666666667,229.0
62.27546504,-6.73280085,-157.33333333333334,202.77777777777777
62.2754445,-6.7327923,-135.44444444444446,212.0
62.27540284,-6.73277864,-199.77777777777777,198.66666666666666
62.27536135,-6.73276464,-154.44444444444446,190.11111111111111
62.27531936,-6.73275484,-141.4,154.3
62.27529882,-6.73274763,-165.55555555555554,203.66666666666666
