lat,lon,u,v
62.27710202,-6.73490932,0.0,0.0
62.2770918,-6.73486699,0.0,0.0
62.277083,-6.73482483,0.0,0.0
62.27707881,-6.73480514,0.0,0.0
62.27707034,-6.73476415,-297.8333333333333,425.8333333333333
62.27706137,-6.73472148,-307.1666666666667,375.8333333333333
62.27705584,-6.73470153,-190.5,408.3333333333333
62.27704737,-6.73466097,-250.83333333333334,379.8333333333333
62.27703866,-6.73462182,-239.16666666666666,428.6666666666667
62.27703363,-6.73460171,-253.5,333.5
62.27702617,-6.73455804,-227.0,378.5
62.27701686,-6.73451554,-266.0,315.8333333333333
62.27701351,-6.7344945,-212.83333333333334,381.5
62.27700421,-6.73445569,-216.83333333333334,281.0
62.276997,-6.73441546,-207.5,326.1666666666667
62.27699004,-6.73437229,-274.6666666666667,274.1666666666667
62.27698585,-6.73435,-362.1666666666667,281.8333333333333
62.27697747,-6.734307,-292.8333333333333,258.8333333333333
62.27697068,-6.73426534,-259.3333333333333,298.1666666666667
62.27696649,-6.73424564,-160.33333333333334,277.8333333333333
62.27696037,-6.73420382,-187.6,297.6
62.27695433,-6.73415713,-316.0,332.2
62.27695132,-6.73413483,-280.0,298.2
62.2769457,-6.734091,-188.8,291.2
62.27693983,-6.73404749,-240.6,243.0
62.27693581,-6.73400232,-216.0,290.0
62.27693187,-6.73398103,-189.6,393.8
62.27692567,-6.73393987,-214.8,304.2
62.27691687,-6.73390534,-155.5,344.25
62.27691167,-6.73388782,-154.6,284.0
62.27690019,-6.73386066,-127.0,208.0
62.27688669,-6.73383585,-236.6,327.6
62.27687202,-6.73382286,-219.0,292.25
62.27685752,-6.7338118,-206.8,230.4
62.27684897,-6.73381054,-236.4,285.0
62.27683263,-6.73380836,-163.4,317.6
62.27681553,-6.73381113,-195.6,260.6
62.27680631,-6.73381104,-177.6,352.2
62.2767882,-6.73381783,-210.8,281.4
62.27676985,-6.73382051,-194.2,303.2
62.27675082,-6.73382018,-188.5,239.16666666666666
62.27673163,-6.73382504,-193.6,280.8
62.27672182,-6.7338232,-288.3333333333333,364.6666666666667
62.27670204,-6.73381984,-191.0,348.0
62.27668301,-6.73381146,-312.0,262.8333333333333
62.27666281,-6.73380886,-166.0,256.5
62.27664387,-6.73379587,-269.3333333333333,388.1666666666667
62.27663331,-6.73379051,-242.85714285714286,283.2857142857143
62.27661319,-6.7337838,-157.71428571428572,255.57142857142858
62.27659416,-6.73376754,-162.0,259.1666666666667
62.27658335,-6.73376435,-250.14285714285714,298.14285714285717
62.27656332,-6.73374818,-95.57142857142857,303.0
62.27654303,-6.73373351,-156.71428571428572,270.0
62.27653365,-6.73372697,-119.14285714285714,209.28571428571428
62.27651319,-6.73371331,-173.42857142857142,210.28571428571428
62.27649299,-6.7336947,-287.2857142857143,330.57142857142856
62.27648218,-6.73368967,-148.85714285714286,298.14285714285717
62.27646165,-6.73366964,-244.14285714285714,277.85714285714283
62.27644019,-6.73365816,-153.42857142857142,203.42857142857142
62.27641965,-6.73364148,-148.71428571428572,284.14285714285717
62.2764085,-6.73363485,-178.71428571428572,272.2857142857143
62.27638696,-6.7336227,-129.14285714285714,223.71428571428572
62.27636517,-6.73360686,-169.71428571428572,234.57142857142858
62.27635335,-6.73360032,-146.71428571428572,249.71428571428572
62.27633097,-6.73358867,-33.0,286.14285714285717
62.27630901,-6.73357534,-94.75,224.375
62.27629652,-6.73357165,-24.125,238.75
62.27627431,-6.73355682,-127.625,220.5
62.27625134,-6.73354718,-10.714285714285714,271.2857142857143
62.2762402,-6.73354081,-125.875,230.25
62.27621731,-6.73352765,-80.85714285714286,178.71428571428572
62.27619384,-6.73351566,-36.0,211.375
62.27618253,-6.7335082,-82.0,222.125
62.27615931,-6.73349764,-53.75,193.5
62.27613618,-6.7334823,-87.375,214.5
62.27611237,-6.7334735,-35.25,218.375
62.27610148,-6.7334652,-89.75,196.5
62.27607767,-6.73345716,-79.75,236.625
62.27605437,-6.73344433,-71.375,175.125
62.27604213,-6.73344065,-115.25,226.0
62.27601849,-6.73342983,-75.25,253.75
62.27599503,-6.7334207,-71.22222222222223,197.44444444444446
62.27598337,-6.73341516,-83.55555555555556,227.33333333333334
62.27595882,-6.73340636,-83.0,229.55555555555554
62.27593568,-6.73339153,-19.555555555555557,229.22222222222223
62.27592403,-6.73338683,-112.44444444444444,149.77777777777777
62.27590182,-6.73336932,-63.888888888888886,223.44444444444446
62.27587835,-6.73335465,-121.88888888888889,191.33333333333334
62.27585681,-6.73333336,-152.22222222222223,163.77777777777777
62.27584516,-6.73332598,-160.77777777777777,173.0
62.27582387,-6.73330436,-100.44444444444444,182.77777777777777
62.27580199,-6.73328298,-114.33333333333333,121.22222222222223
62.27578053,-6.73326018,-57.55555555555556,107.11111111111111
62.27575933,-6.73323629,-60.888888888888886,111.11111111111111
62.27574801,-6.73322431,-134.44444444444446,218.77777777777777
62.27572597,-6.73320017,-159.0,248.11111111111111
62.27570401,-6.73317553,-143.88888888888889,160.0
62.27569403,-6.73316396,-146.77777777777777,126.55555555555556
62.27567232,-6.73313948,-111.77777777777777,142.22222222222223
62.27565053,-6.73311501,-71.66666666666667,154.88888888888889
62.27563879,-6.73310202,-99.33333333333333,174.88888888888889
62.27561717,-6.73307452,-105.44444444444444,186.33333333333334
62.27559596,-6.73304804,-30.0,179.33333333333334
62.27557367,-6.73302515,-48.666666666666664,154.66666666666666
62.27556319,-6.73300965,-56.44444444444444,175.77777777777777
62.27554031,-6.73298584,21.555555555555557,140.77777777777777
62.27551885,-6.73295651,27.666666666666668,181.77777777777777
62.27549513,-6.7329332,-70.55555555555556,217.33333333333334
62.27548348,-6.7329187,-3.2222222222222223,247.33333333333334
62.27546118,-6.73289414,14.444444444444445,182.33333333333334
62.27543847,-6.7328695,-33.55555555555556,142.77777777777777
62.27542665,-6.73285685,-40.77777777777778,187.44444444444446
62.27540335,-6.7328312,-11.222222222222221,187.0
62.27538046,-6.73280798,61.666666666666664,122.88888888888889
62.27536865,-6.73279767,86.33333333333333,145.0
62.27534501,-6.73277286,-72.1,176.1
62.27532053,-6.73275417,77.77777777777777,140.55555555555554
62.27530913,-6.73274101,-20.2,114.4
62.27528499,-6.73271997,-30.22222222222222,157.0
62.27526136,-6.73270069,12.1,88.6
62.2752492,-6.73268946,-25.0,162.11111111111111
62.27522431,-6.73267286,-24.8,141.5
62.27519916,-6.73265518,-0.6,124.8
62.27518701,-6.73264503,25.0,114.8
62.27516153,-6.7326302,3.1,109.8
62.2751358,-6.73261452,-13.5,97.6
62.27511032,-6.73259499,-1.7272727272727273,87.18181818181819
62.27508433,-6.73258636,40.8,91.1
62.27507151,-6.7325753,14.818181818181818,58.54545454545455
62.27504569,-6.73256298,-37.90909090909091,122.63636363636364
62.27503253,-6.73255552,-41.63636363636363,76.54545454545455
62.27500697,-6.73254102,-16.727272727272727,59.36363636363637
62.27498048,-6.73252953,-47.45454545454545,61.27272727272727
62.27496715,-6.73252383,-9.363636363636363,85.63636363636364
62.27494033,-6.73251302,-56.90909090909091,96.9090909090909
62.27491317,-6.73250279,12.363636363636363,64.27272727272727
62.27488685,-6.73248771,-4.090909090909091,89.36363636363636
62.27487336,-6.73248385,26.545454545454547,117.0
62.27484654,-6.73247119,-8.727272727272727,113.9090909090909
62.2748338,-6.73246449,33.45454545454545,27.09090909090909
62.27480681,-6.732452,10.818181818181818,46.09090909090909
62.27477982,-6.7324385,-1.0909090909090908,26.636363636363637
62.27475283,-6.73241881,-12.727272727272727,40.36363636363637
62.27473967,-6.73241353,9.181818181818182,46.09090909090909
62.27471301,-6.73239651,11.545454545454545,42.63636363636363
62.27468636,-6.73238503,-23.363636363636363,112.63636363636364
62.27467337,-6.73237447,34.45454545454545,47.45454545454545
62.27464587,-6.73236097,-12.909090909090908,56.09090909090909
62.27461847,-6.7323448,25.272727272727273,116.54545454545455
62.27460464,-6.73233784,57.81818181818182,13.363636363636363
62.27457765,-6.7323225,1.4545454545454546,49.45454545454545
62.27455082,-6.7323085,46.27272727272727,51.90909090909091
62.2745375,-6.7323023,11.636363636363637,69.54545454545455
62.27451034,-6.73228604,55.54545454545455,39.36363636363637
62.27448285,-6.73227137,23.818181818181817,26.636363636363637
62.27446918,-6.73226265,-43.90909090909091,36.90909090909091
62.27444219,-6.73225,28.454545454545453,58.72727272727273
62.27441487,-6.7322365,32.18181818181818,46.09090909090909
62.27440137,-6.73222787,18.727272727272727,106.36363636363636
62.2743738,-6.73221353,-16.454545454545453,31.454545454545453
62.27434748,-6.73219434,-3.727272727272727,79.18181818181819
62.27432015,-6.73217917,36.90909090909091,71.54545454545455
62.27429283,-6.73216484,-25.363636363636363,115.36363636363636
62.2742795,-6.7321552,16.636363636363637,41.81818181818182
62.27425251,-6.73213969,-45.36363636363637,76.0
62.27422636,-6.73212167,72.9090909090909,87.0
62.27419937,-6.73210599,41.90909090909091,0.0
62.2741868,-6.73209451,27.90909090909091,43.54545454545455
62.2741593,-6.73207867,66.72727272727273,56.90909090909091
62.27413315,-6.73205403,65.27272727272727,50.81818181818182
62.2741065,-6.73204497,35.72727272727273,17.636363636363637
62.27409334,-6.73203232,108.81818181818181,19.363636363636363
62.27406652,-6.73201916,43.0,6.363636363636363
62.27403919,-6.73199913,97.9090909090909,50.54545454545455
62.2740117,-6.73198764,65.27272727272727,-15.0
62.27399913,-6.73197901,29.636363636363637,13.636363636363637
62.27397163,-6.7319687,67.63636363636364,34.63636363636363
62.27394481,-6.73195386,22.363636363636363,-4.818181818181818
62.27393065,-6.731948,77.72727272727273,36.36363636363637
62.27390282,-6.73193601,12.363636363636363,10.0
62.27387482,-6.73192486,7.454545454545454,6.454545454545454
62.2738615,-6.7319195,34.0,36.54545454545455
62.27383434,-6.73190835,-8.181818181818182,48.0
62.27380685,-6.73189946,91.18181818181819,32.0
62.27377818,-6.73188999,48.0,-29.727272727272727
62.27376468,-6.73188404,68.81818181818181,36.54545454545455
62.27373669,-6.73187767,34.27272727272727,40.09090909090909
62.27370936,-6.73186585,95.54545454545455,11.0
62.2736957,-6.73186384,27.363636363636363,42.45454545454545
62.27366771,-6.73185219,29.09090909090909,79.18181818181819
62.27363963,-6.73184431,9.0,38.27272727272727
62.27362596,-6.73183719,41.63636363636363,19.90909090909091
62.27359763,-6.73183283,55.45454545454545,0.0
62.27356964,-6.73181933,81.18181818181819,-70.63636363636364
62.27354164,-6.7318133,6.2727272727272725,-13.363636363636363
62.27351314,-6.73180349,53.18181818181818,-76.0909090909091
62.27349898,-6.73180114,67.54545454545455,-43.45454545454545
62.27347031,-6.731791,20.09090909090909,-3.8181818181818183
62.27344148,-6.73178338,-17.181818181818183,33.0
62.27341332,-6.73177617,55.18181818181818,-59.72727272727273
62.27339898,-6.73177265,39.36363636363637,-32.09090909090909
62.27337015,-6.731761,3.8181818181818183,44.90909090909091
62.27334148,-6.73175404,38.90909090909091,21.272727272727273
62.27331399,-6.73174163,104.9090909090909,-17.818181818181817
62.27329982,-6.73173702,45.81818181818182,-17.363636363636363
62.27327149,-6.73172185,133.0909090909091,-35.09090909090909
62.2732435,-6.7317045,65.9090909090909,-74.72727272727273
62.27322967,-6.73169553,103.81818181818181,-60.54545454545455
62.27320218,-6.73168019,61.18181818181818,-51.09090909090909
62.27317502,-6.73165983,155.1818181818182,-45.72727272727273
62.27314685,-6.7316413,108.63636363636364,-51.63636363636363
62.27311903,-6.73161984,103.27272727272727,-15.545454545454545
