lat,lon,u,v
62.2771633,-6.73458201,0.0,0.0
62.2771503,-6.73453499,0.0,0.0
62.27713731,-6.73449031,0.0,0.0
62.27712549,-6.73444597,0.0,0.0
62.27711954,-6.73442367,-23.2,282.6
62.27710848,-6.73437816,-101.8,199.2
62.27710303,-6.73435452,-110.4,136.0
62.27709096,-6.73430666,-98.8,140.6
62.27707847,-6.73426098,-0.8,69.0
62.27706766,-6.73421782,-58.0,188.5
62.27706204,-6.73419669,-169.5,113.5
62.27705165,-6.73415084,-144.5,83.25
62.27704167,-6.73410349,-231.75,29.0
62.27703036,-6.73405713,-246.5,185.0
62.27702432,-6.73403517,-209.5,304.5
62.27701301,-6.73399419,-135.5,246.0
62.27699951,-6.7339615,-10.25,152.5
62.2769923,-6.73394498,-96.5,111.25
62.27697252,-6.7339133,-64.0,80.5
62.27694763,-6.73387969,-181.4,107.6
62.27693279,-6.7338667,-207.6,71.8
62.2769022,-6.73384029,-306.4,183.4
62.27686984,-6.73381783,-55.8,69.2
62.27685316,-6.73380584,-100.0,252.2
62.27681704,-6.73378087,-207.0,203.0
62.27677915,-6.73375547,-235.0,188.8
62.27675937,-6.73374432,-243.0,110.5
62.27671746,-6.73371951,-265.6666666666667,308.1666666666667
62.27667287,-6.73369914,-292.3333333333333,246.33333333333334
62.27665032,-6.73368582,-220.42857142857142,155.42857142857142
62.27660431,-6.73366285,-129.57142857142858,130.42857142857142
62.27655586,-6.73363913,-149.28571428571428,119.57142857142857
62.27650431,-6.7336175,-33.714285714285715,132.85714285714286
62.27647715,-6.7336077,-66.57142857142857,113.71428571428571
62.27642166,-6.73358498,-114.0,170.42857142857142
62.27636634,-6.73356067,-213.25,165.625
62.27633885,-6.73354835,-222.0,44.875
62.27628336,-6.7335212,-214.0,62.875
62.27622754,-6.73349136,-110.25,68.625
62.27619929,-6.73347585,-95.125,225.125
62.27614347,-6.73344098,-19.5,124.5
62.27608781,-6.73340117,-49.0,202.625
62.27606066,-6.73337954,-137.77777777777777,124.55555555555556
62.27600584,-6.73333713,-64.88888888888889,89.55555555555556
62.27595169,-6.7332912,-214.75,55.0
62.2759242,-6.73326815,-157.55555555555554,4.555555555555555
62.27586896,-6.73321953,1.7777777777777777,37.77777777777778
62.27581431,-6.73316731,-124.77777777777777,60.77777777777778
62.27578715,-6.73313881,-108.44444444444444,85.22222222222223
62.275732,-6.73308332,-83.77777777777777,237.22222222222223
62.27567702,-6.733028,-165.44444444444446,195.44444444444446
62.27562153,-6.73297671,-138.0,67.55555555555556
62.27559336,-6.73295299,-273.3333333333333,149.33333333333334
62.2755362,-6.73290865,-330.77777777777777,166.22222222222223
62.2754792,-6.73286648,-307.5,151.8
62.27545104,-6.73284536,-320.2,98.9
62.27539429,-6.73280404,-262.44444444444446,147.66666666666666
62.27533763,-6.73276314,-300.0,84.4
62.27530897,-6.73274352,-181.9,-10.3
62.27525247,-6.73270463,-0.3,-124.7
62.27519564,-6.73266582,6.818181818181818,29.181818181818183
62.27516681,-6.73264747,-100.45454545454545,59.90909090909091
62.27510914,-6.73260933,-125.27272727272727,-6.454545454545454
62.2750508,-6.73257119,-111.81818181818181,90.0909090909091
62.27502147,-6.732553,-70.81818181818181,-34.54545454545455
62.2749633,-6.73251813,0.9090909090909091,-139.0909090909091
62.27490471,-6.73248318,-4.636363636363637,-168.45454545454547
62.2748752,-6.73246499,215.45454545454547,-77.54545454545455
62.27481519,-6.73242853,200.63636363636363,13.727272727272727
62.27475584,-6.73238947,224.45454545454547,15.454545454545455
62.27472601,-6.73236835,224.63636363636363,-69.18181818181819
62.27466582,-6.73232937,167.0909090909091,-171.0909090909091
62.27460581,-6.73228981,192.0,-217.0909090909091
62.27457547,-6.73227187,346.6363636363636,-197.63636363636363
62.2745157,-6.73223499,267.27272727272725,-217.9090909090909
62.27445535,-6.73219752,238.54545454545453,-289.3636363636364
62.27439467,-6.73216064,33.54545454545455,-274.6363636363636
62.27436366,-6.73214237,33.27272727272727,-303.45454545454544
62.2743018,-6.73210365,137.45454545454547,-401.09090909090907
62.27423885,-6.73206668,322.72727272727275,-343.8181818181818
62.2742075,-6.73204849,276.09090909090907,-309.0
62.2741438,-6.7320117,282.90909090909093,-349.8181818181818
62.27407968,-6.73197398,303.6363636363636,-418.6363636363636
62.27404732,-6.73195487,353.45454545454544,-398.1818181818182
62.27398287,-6.7319143,300.3636363636364,-287.09090909090907
62.27391849,-6.73187063,328.6363636363636,-382.0
62.2738858,-6.73184917,318.0,-325.09090909090907
62.27382034,-6.73180701,352.1818181818182,-363.90909090909093
62.27375496,-6.73176552,381.1818181818182,-415.54545454545456
62.27372286,-6.73174364,306.8181818181818,-375.09090909090907
62.27365748,-6.73170551,427.3636363636364,-454.3636363636364
62.27359118,-6.73166653,350.54545454545456,-388.45454545454544
62.27355765,-6.73164918,395.8181818181818,-415.3636363636364
62.27349035,-6.73161884,376.45454545454544,-391.8181818181818
62.27342321,-6.73159218,397.90909090909093,-389.1818181818182
62.27335565,-6.73156603,298.72727272727275,-453.8181818181818
62.27332187,-6.73155304,262.72727272727275,-481.6363636363636
62.27325314,-6.73152831,317.54545454545456,-474.54545454545456
62.27318583,-6.73149663,341.54545454545456,-467.90909090909093
62.2731518,-6.73148196,312.27272727272725,-416.6363636363636
62.27308449,-6.73144651,335.72727272727275,-469.6363636363636
62.27301585,-6.73141063,273.8181818181818,-508.72727272727275
62.27298165,-6.73139102,290.90909090909093,-475.72727272727275
62.27291149,-6.73135716,290.6363636363636,-479.3636363636364
62.27284301,-6.73132053,342.6363636363636,-464.45454545454544
62.27280831,-6.73130401,328.3636363636364,-505.54545454545456
62.27273983,-6.73126554,393.8181818181818,-402.0
62.27266951,-6.73122648,305.0,-395.3636363636364
62.27263397,-6.73120502,290.0,-420.6363636363636
62.27256381,-6.73116286,291.72727272727275,-430.0
62.27249466,-6.73112003,319.8181818181818,-491.27272727272725
62.27242484,-6.73107804,322.90909090909093,-460.8181818181818
62.27235468,-6.73103537,369.45454545454544,-394.6363636363636
62.27231964,-6.73101551,317.6363636363636,-441.8181818181818
62.27224966,-6.73097435,326.0,-467.8181818181818
62.27217916,-6.7309358,232.36363636363637,-483.27272727272725
