lat,lon
62.27334383,-6.72883487
62.27331818,-6.72892179
62.27329354,-6.72901316
62.27328247,-6.72906135
62.27326747,-6.72916168
62.27325934,-6.72926436
62.27325833,-6.7293165
62.27325599,-6.72941985
62.27325649,-6.72947198
62.27325666,-6.72957952
62.27325548,-6.72968597
62.27325297,-6.72973702
62.27324015,-6.72984087
62.27322036,-6.72994296
62.2731922,-6.73004271
62.27317703,-6.73008964
62.27314317,-6.7301852
62.2731057,-6.73027681
62.27308718,-6.73032132
62.27304669,-6.73041
62.27300713,-6.73050052
62.27298751,-6.73054621
62.27349504,-6.72913436
62.27347568,-6.72923997
62.27346637,-6.7292937
62.27344533,-6.72940551
62.2734243,-6.729518
62.27340602,-6.72963216
62.27339647,-6.72968999
62.27338247,-6.72981136
62.27336881,-6.72993064
62.27336319,-6.72999149
62.27334903,-6.73011119
62.27333151,-6.73022904
62.27332237,-6.73028796
62.27329899,-6.73040187
62.27327334,-6.73051469
62.27325817,-6.73056968
62.27350669,-6.72909513
62.27349521,-6.72914215
62.2734688,-6.72924014
62.27343553,-6.72933301
62.27341717,-6.72937852
62.27337635,-6.72946419
62.27333302,-6.72954197
62.27328817,-6.72962068
62.2732663,-6.72966166
62.27322187,-6.72974682
62.27320083,-6.72978966
62.27316203,-6.72988303
62.27312297,-6.7299785
62.27310335,-6.73002929
62.2730648,-6.73012837
62.27302783,-6.73022585
62.27299171,-6.73032886
62.272956,-6.73043749
62.27293764,-6.7304882
62.27345003,-6.72900813
62.27341985,-6.72909915
62.27338431,-6.72918834
62.27336604,-6.72923352
62.27332866,-6.72932882
62.27329086,-6.72942664
62.27327066,-6.7294755
62.273229,-6.72956862
62.27318499,-6.72965999
62.27316152,-6.72970131
62.27311383,-6.72978614
62.27306463,-6.7298687
62.27304133,-6.72991119
62.27299481,-6.73000029
62.27295047,-6.73009249
62.27292884,-6.73013985
62.27288819,-6.73023901
62.27285014,-6.73034219
62.27353837,-6.72928917
62.27353284,-6.72934433
62.27351482,-6.72945363
62.27349596,-6.72956418
62.27348515,-6.729619
62.27346369,-6.72973098
62.27343469,-6.72983349
62.27341902,-6.72988487
62.2733823,-6.72997498
62.27334316,-6.73006131
62.27329949,-6.73014287
62.27327585,-6.73017631
62.27322715,-6.73024219
62.27317586,-6.73030003
62.27314937,-6.73032685
62.27309329,-6.73037496
62.27303529,-6.73041712
62.27300696,-6.73044269
62.27294996,-6.73049214
62.27347735,-6.72903202
62.27346503,-6.72914148
62.27345514,-6.72919513
62.27343083,-6.72929998
62.27340217,-6.72940702
62.27338666,-6.72946117
62.2733523,-6.72956862
62.27331298,-6.72966703
62.2732922,-6.72971464
62.27324601,-6.72979703
62.27319698,-6.72987054
62.27317083,-6.72990432
62.27311802,-6.72997129
62.27309237,-6.73000851
62.27304434,-6.73009199
62.27300017,-6.7301862
62.27295851,-6.73028301
62.27293747,-6.7303302
62.27289347,-6.73042517
62.27352681,-6.72913729
62.27351968,-6.72925154
62.27351164,-6.72930719
62.27349035,-6.72941633
62.27346746,-6.72952713
62.27345497,-6.72958614
62.27343251,-6.72970684
62.2734098,-6.72983165
62.27339949,-6.72989368
62.27337585,-6.73001898
62.27335297,-6.73014186
62.27334014,-6.73020297
62.27331533,-6.73032467
62.273301,-6.73038402
62.27327317,-6.73050187
62.27353418,-6.72916185
62.27352647,-6.72920929
62.27350719,-6.72930116
62.27349613,-6.72934935
62.27347065,-6.72944164
62.27344282,-6.72953283
62.27341281,-6.72962168
62.2733968,-6.72966351
62.27336403,-6.72975386
62.27333117,-6.72984548
62.27331483,-6.72989049
62.27328398,-6.72998596
62.27325146,-6.73007715
62.27323654,-6.73012652
62.27320285,-6.73021998
62.27317099,-6.7303157
62.27315381,-6.73036097
62.27312246,-6.73045652
62.27308919,-6.73055015
62.27307267,-6.73059817
62.27309732,-6.7287208
62.27315817,-6.72879715
62.2732212,-6.72886865
62.27325071,-6.72890553
62.27331215,-6.72897887
62.27333947,-6.72902212
62.27338733,-6.72911718
62.27342002,-6.72922664
62.27343134,-6.72928398
62.27344232,-6.72940216
62.27344131,-6.72945631
62.2734315,-6.72956452
62.27341214,-6.7296703
62.27338599,-6.72977214
62.27337199,-6.72982486
62.27334031,-6.72992754
62.27330854,-6.73003248
62.27329002,-6.73008135
62.27325565,-6.73018704
62.27321684,-6.73028167
62.27319882,-6.73033331
62.27315901,-6.73042802
62.27312154,-6.73053187
62.27310201,-6.73058082
62.27352832,-6.7291818
62.27352463,-6.72928431
62.27351281,-6.72938179
62.27350635,-6.72943351
62.2734885,-6.72953267
62.27347232,-6.72963836
62.27346151,-6.72968849
62.273446,-6.72979963
62.2734248,-6.72990466
62.27341985,-6.72996501
62.27340032,-6.73007514
62.27338398,-6.73019081
62.27337518,-6.73024798
62.27335481,-6.7303587
62.27333352,-6.73046733
62.27332036,-6.73051813
62.2691025,-6.72486453
62.26912237,-6.72481718
62.26916336,-6.72472749
62.26920635,-6.72464468
62.26924969,-6.7245648
62.26927098,-6.72452331
62.26931247,-6.72443647
62.26934985,-6.724341
62.2693667,-6.7242892
62.26939688,-6.72418049
62.26941003,-6.72412332
62.269432,-6.72400136
62.26944683,-6.72386901
62.2694527,-6.72380087
62.26946167,-6.72366265
62.2694708,-6.72352334
62.26947516,-6.72345352
62.26948581,-6.72331396
62.26950048,-6.72317985
62.26906696,-6.72472313
62.26910351,-6.72461232
62.26913997,-6.72450235
62.26915933,-6.72444787
62.26919864,-6.7243405
62.2692393,-6.72423949
62.26926033,-6.72418954
62.26930317,-6.72409415
62.26934432,-6.72399952
62.26936435,-6.72395267
62.2694035,-6.72385502
62.26944113,-6.72375469
62.26945915,-6.72370498
62.26949419,-6.72359836
62.26952964,-6.72349334
62.2695475,-6.72343969
62.26958337,-6.72333567
62.26907535,-6.7247347
62.26910619,-6.72461132
62.26912287,-6.72455147
62.26915464,-6.72443303
62.26918666,-6.72431384
62.2692035,-6.72425366
62.26923519,-6.72413221
62.26925313,-6.72407337
62.26928514,-6.723953
62.269317,-6.72383649
62.26933284,-6.72377698
62.26936469,-6.72365687
62.26939553,-6.72353516
62.26941247,-6.72347766
62.26944532,-6.72336199
62.26948069,-6.72325202
62.26949897,-6.7231988
62.2691393,-6.7248362
62.26915346,-6.72477669
62.26918213,-6.72465817
62.26921348,-6.724542
62.26924399,-6.72442733
62.26925916,-6.72437034
62.26928866,-6.72425601
62.269318,-6.72413883
62.26933217,-6.72407932
62.26936083,-6.72396013
62.26938916,-6.72384068
62.26940383,-6.7237805
62.26943317,-6.72366098
62.26944767,-6.72360264
62.26947868,-6.72349233
62.26951598,-6.72340315
62.26953685,-6.7233692
62.2695822,-6.72331983
62.26960567,-6.72330785
62.26919965,-6.72491231
62.26923251,-6.72478985
62.26926813,-6.72466999
62.26930602,-6.72455516
62.26932596,-6.72449917
62.26936569,-6.72438651
62.26940668,-6.72427319
62.26942747,-6.72421946
62.26947282,-6.72411821
62.26951648,-6.72401813
62.26953836,-6.7239675
62.26957952,-6.7238608
62.26962268,-6.72375619
62.26964397,-6.72370632
62.26968915,-6.72361068
62.26939319,-6.72489647
62.26941716,-6.72477954
62.26944029,-6.72466052
62.26945069,-6.7245995
62.26947214,-6.72447419
62.26949167,-6.72434913
62.26950064,-6.72428769
62.26951648,-6.72416548
62.26952864,-6.7240395
62.2695335,-6.72397404
62.26954146,-6.72384529
62.26955018,-6.72371663
62.26955529,-6.72365251
62.26956535,-6.72352586
62.26958371,-6.72340969
62.26959754,-6.72335763
62.26932119,-6.7248647
62.26933451,-6.72480687
62.26935983,-6.72469036
62.26938279,-6.724572
62.26940232,-6.72444929
62.2694102,-6.72438651
62.2694247,-6.72426498
62.2694408,-6.72414604
62.26945203,-6.72408753
62.26947566,-6.72397236
62.26948882,-6.72391537
62.26951749,-6.72380179
62.26954767,-6.72368947
62.26957633,-6.72357649
62.269591,-6.723522
62.26961799,-6.7234065
62.26909999,-6.72482296
62.26912782,-6.72472464
62.26914131,-6.72467619
62.26916981,-6.7245803
62.26919814,-6.72448282
62.26922831,-6.72438685
62.26924265,-6.72433815
62.26927266,-6.72424184
62.26930182,-6.72414813
62.26931649,-6.7241027
62.26934751,-6.7240105
62.26937818,-6.72391713
62.26939386,-6.72387052
62.26942437,-6.72377715
62.26945614,-6.72368218
62.26947181,-6.72363633
62.26950467,-6.72353935
62.26953568,-6.72344598
62.26955286,-6.7234013
62.26958564,-6.72331036
62.26917383,-6.72491583
62.26919537,-6.72479463
62.26921834,-6.72467401
62.26924248,-6.72455382
62.26925547,-6.72449447
62.26928229,-6.72437729
62.26931021,-6.72426187
62.26932487,-6.72420437
62.2693548,-6.72408979
62.26938531,-6.7239753
62.26940065,-6.72391897
62.26943233,-6.72380581
62.2694475,-6.72374899
62.26948019,-6.72363633
62.26951313,-6.72352519
62.26954465,-6.72341287
62.26956166,-6.72335763
62.26924215,-6.7249393
62.26925271,-6.7248875
62.269274,-6.72478365
62.2692968,-6.7246803
62.26930752,-6.724629
62.26933049,-6.72452766
62.26935237,-6.72442599
62.26937667,-6.72432482
62.26938715,-6.72427302
62.26941146,-6.72417252
62.26943434,-6.72407085
62.2694475,-6.72402131
62.2694708,-6.72391931
62.26949603,-6.72381981
62.26952101,-6.72372149
62.26953518,-6.72367531
62.26956887,-6.72359384
62.26958865,-6.72356048
62.26963299,-6.72351069
62.26530734,-6.71829983
62.26529083,-6.71835431
62.26525898,-6.7184678
62.26523266,-6.71858263
62.26521414,-6.71870048
62.26520869,-6.71875832
62.26520148,-6.71887617
62.26519796,-6.71899251
62.2651988,-6.71905101
62.26520383,-6.71916232
62.26521481,-6.71926869
62.26522017,-6.71932267
62.26522948,-6.71943231
62.26523216,-6.71954353
62.26522797,-6.71965736
62.26522235,-6.71971587
62.26520785,-6.71983204
62.26525202,-6.71832967
62.2652413,-6.71838733
62.26522118,-6.71850334
62.26519913,-6.71861884
62.26518765,-6.71867735
62.26516686,-6.71879352
62.26514784,-6.7189112
62.26513987,-6.71896921
62.26512646,-6.71908471
62.26511682,-6.71920046
62.26511163,-6.71925779
62.26509914,-6.71937279
62.26508447,-6.7194867
62.26507768,-6.71954286
62.26506402,-6.71965635
62.26505731,-6.71977001
62.26505413,-6.71982701
62.26505036,-6.71994
62.26532084,-6.71837987
62.26531413,-6.71844131
62.26530014,-6.71856285
62.26528463,-6.71868498
62.2652765,-6.71874566
62.26525948,-6.71886787
62.2652428,-6.71898999
62.2652335,-6.71905168
62.26521883,-6.71917565
62.2652102,-6.7192365
62.26519637,-6.71935997
62.2651817,-6.71948637
62.2651755,-6.71954898
62.26516452,-6.71967446
62.26515496,-6.71980237
62.26521053,-6.71822799
62.26520165,-6.71834987
62.26519964,-6.71841013
62.2651967,-6.71853418
62.2651962,-6.71859403
62.26519779,-6.7187175
62.26519813,-6.71884415
62.26520014,-6.71890651
62.26520098,-6.71903215
62.26520282,-6.71909535
62.26520601,-6.71921899
62.26520936,-6.71934497
62.26521213,-6.71947237
62.26521263,-6.71953549
62.26521003,-6.71966063
62.26520182,-6.71978636
62.26519779,-6.71984796
62.26542167,-6.71925218
62.26540885,-6.71931186
62.26537935,-6.71942585
62.26534833,-6.719537
62.26533165,-6.71959081
62.26529821,-6.71970053
62.26533199,-6.71846696
62.26532369,-6.71852731
62.26530651,-6.71864784
62.2652858,-6.71876837
62.26527466,-6.71882646
62.26525085,-6.7189402
62.26523836,-6.71899821
62.2652128,-6.71911203
62.26518748,-6.71922863
62.26516167,-6.7193458
62.26514951,-6.71940347
62.26512596,-6.71952501
62.26510668,-6.71964898
62.26509796,-6.71971033
62.26508296,-6.71983849
62.26543919,-6.71897667
62.26543567,-6.71910801
62.265434,-6.71917247
62.26528237,-6.71832053
62.26527214,-6.71842916
62.26526803,-6.71848565
62.26525932,-6.7185973
62.26525253,-6.71871163
62.26524834,-6.71876913
62.26524146,-6.7188853
62.26523819,-6.71894381
62.26523132,-6.71905998
62.26522403,-6.71917632
62.26522084,-6.71923533
62.26521414,-6.71935201
62.26520718,-6.71946902
62.26520316,-6.71952769
62.26519519,-6.7196442
62.2651853,-6.71976037
62.2651812,-6.71981787
62.26531715,-6.71834785
62.26530315,-6.71846436
62.2652967,-6.71852429
62.2652848,-6.71864801
62.26527449,-6.71877583
62.26526921,-6.71883937
62.26525881,-6.71896887
62.265248,-6.71909963
62.26523803,-6.71922963
62.26523249,-6.71929417
62.26522235,-6.71942535
62.26521196,-6.7195572
62.26520685,-6.71962232
62.26519519,-6.71975316
62.26534464,-6.71845933
62.26534297,-6.71851465
62.2653402,-6.71862932
62.26533584,-6.71874365
62.26533584,-6.71880282
62.26533098,-6.71891933
62.26533132,-6.71903852
62.26532796,-6.7190972
62.26532914,-6.71921882
62.26532587,-6.71933851
62.26532696,-6.71939819
62.26532604,-6.71952015
62.26532696,-6.71964185
