lat,lon,u,v
61.5029072,-6.73752381,48.40909090909091,13.181818181818182
61.5029875,-6.73674437,67.36666666666666,6.166666666666667
61.50307098,-6.7359315,42.7,-0.8
61.50307484,-6.73511133,48.666666666666664,4.166666666666667
61.50306554,-6.73427749,54.0,-1.6333333333333333
61.5030372,-6.7334383,47.03333333333333,-0.5333333333333333
61.50301784,-6.73254554,64.36666666666666,-6.033333333333333
61.50296051,-6.73173032,67.8,11.7
61.50286747,-6.73093052,50.3,8.933333333333334
61.50281316,-6.73011353,99.46666666666667,7.533333333333333
61.50277267,-6.72929068,77.3,20.733333333333334
61.50271383,-6.72847521,100.96666666666667,16.633333333333333
61.50264535,-6.72762268,90.43333333333334,17.066666666666666
61.50262767,-6.72682053,100.6,0.26666666666666666
61.50257436,-6.72603297,71.26666666666667,-5.7
61.50254066,-6.72523468,82.4,10.5
61.50252549,-6.72443119,73.03333333333333,0.5
61.50250068,-6.72360834,91.73333333333333,-12.666666666666666
61.50244896,-6.72280099,90.93333333333334,7.033333333333333
61.50239767,-6.72194067,94.16666666666667,-7.6
61.50236464,-6.72112134,67.5,10.5
61.50233799,-6.72032037,59.9,17.433333333333334
61.50231787,-6.71952635,62.53333333333333,-18.766666666666666
61.50228719,-6.71874097,99.76666666666667,-29.366666666666667
61.50223514,-6.7179363,92.8,-92.76666666666667
61.50208603,-6.71722803,99.43333333333334,-86.7
61.50176533,-6.71679603,69.36666666666666,-67.0
61.50138563,-6.71643703,70.83333333333333,-59.06666666666667
61.50101951,-6.71616881,70.5,-55.86666666666667
61.50065465,-6.71589263,67.3,-60.13333333333333
61.50029934,-6.71554386,26.8,-77.33333333333333
61.49995082,-6.71516667,73.1,-89.4
61.49961747,-6.71522853,37.6,-105.43333333333334
61.49946735,-6.71587704,-0.3,-75.06666666666666
61.49930751,-6.71663468,7.666666666666667,-37.3
61.49907215,-6.71727329,10.033333333333333,-59.93333333333333
61.49887098,-6.71795919,29.766666666666666,-71.06666666666666
61.49866965,-6.71863602,20.833333333333332,-95.33333333333333
61.49845834,-6.71931747,56.9,-73.3
61.49828517,-6.72002868,28.8,-44.7
61.49817713,-6.72078699,31.366666666666667,-36.666666666666664
61.49802382,-6.721494,-54.3,6.366666666666666
61.49789885,-6.72223287,-78.96666666666667,12.266666666666667
61.49795115,-6.7229517,-49.56666666666667,52.93333333333333
61.49822599,-6.72344598,41.1,66.6
61.498486,-6.72400665,81.93333333333334,68.73333333333333
61.49878565,-6.72447964,83.46666666666667,59.53333333333333
61.49907097,-6.72498884,72.46666666666667,65.23333333333333
61.49936032,-6.72549116,95.66666666666667,67.73333333333333
61.49965167,-6.72599047,78.73333333333333,71.06666666666666
61.49995216,-6.72655567,52.46666666666667,91.73333333333333
61.50013019,-6.72715832,65.53333333333333,84.03333333333333
61.49991503,-6.72762813,43.63333333333333,91.06666666666666
61.49963281,-6.72811537,4.033333333333333,71.3
61.49938513,-6.72870847,11.166666666666666,61.333333333333336
61.49910886,-6.72895113,39.46666666666667,48.46666666666667
61.4988745,-6.72843313,12.566666666666666,45.766666666666666
61.49860318,-6.72787054,39.36666666666667,88.06666666666666
61.49834133,-6.72727953,-20.033333333333335,90.23333333333333
61.49805701,-6.72665499,-51.46666666666667,122.26666666666667
61.49782668,-6.72603817,-101.46666666666667,113.06666666666666
61.49759333,-6.72545646,-127.5,115.13333333333334
61.49736567,-6.72489169,-133.93333333333334,98.6
61.49709284,-6.72441082,-103.76666666666667,88.76666666666667
61.49682169,-6.7239323,-121.2,83.7
61.49655053,-6.72344221,-104.23333333333333,72.46666666666667
61.49629069,-6.72291934,-115.23333333333333,65.0
61.496027,-6.72240729,-130.13333333333333,27.066666666666666
61.4957162,-6.72190597,-112.76666666666667,20.966666666666665
61.49541864,-6.7214282,-127.73333333333333,-3.1333333333333333
61.49525218,-6.72082613,-139.26666666666668,-32.56666666666667
61.49540582,-6.72019053,-104.4,-39.5
61.49554948,-6.71949517,-74.33333333333333,-45.06666666666667
61.49568963,-6.7187807,-71.76666666666667,-23.866666666666667
61.49586984,-6.71811903,-78.83333333333333,-37.733333333333334
61.49603999,-6.71743498,-70.26666666666667,-12.466666666666667
61.49621333,-6.7166962,-48.5,-31.166666666666668
61.49635867,-6.71602665,-39.8,-25.366666666666667
61.4965098,-6.71534001,-18.733333333333334,-10.133333333333333
61.49663569,-6.71461263,-8.2,-30.166666666666668
61.49677031,-6.71387619,30.266666666666666,-39.7
61.49692898,-6.71315837,26.166666666666668,-25.733333333333334
61.49687097,-6.7124858,-25.566666666666666,-30.333333333333332
61.4965445,-6.71225019,1.6666666666666667,-35.93333333333333
61.49617435,-6.71224734,-15.133333333333333,-33.166666666666664
61.49581636,-6.71192816,0.2,-52.266666666666666
61.49552786,-6.71143119,-21.5,-31.566666666666666
61.49523449,-6.71094471,-21.8,-20.2
61.49492813,-6.71049351,-62.666666666666664,7.433333333333334
61.49462664,-6.71002437,-102.86666666666666,-12.3
61.4943067,-6.70992052,-79.96666666666667,6.766666666666667
61.49417435,-6.710549,-125.93333333333334,-18.5
61.49417996,-6.71136053,-120.33333333333333,6.2
61.49410813,-6.71217383,-87.56666666666666,18.8
61.49400914,-6.71297514,-124.03333333333333,18.633333333333333
61.49393731,-6.71386018,-132.53333333333333,19.533333333333335
61.49389498,-6.71468186,-135.89655172413794,49.58620689655172
61.4937913,-6.71548502,-164.26666666666668,54.8
61.49369851,-6.71629747,-203.7,53.733333333333334
61.49365433,-6.71716299,-171.1,73.16666666666667
61.4935882,-6.71798953,-214.36666666666667,112.66666666666667
61.49352852,-6.7188387,-130.46666666666667,39.266666666666666
61.49347253,-6.71965786,-7.566666666666666,35.166666666666664
61.49339148,-6.72043897,6.166666666666667,-22.466666666666665
61.49330699,-6.72128202,-13.4,-36.43333333333333
61.49322585,-6.72206967,17.966666666666665,20.6
61.49317087,-6.72285346,-4.5,33.9
61.49310381,-6.72363114,34.86666666666667,21.266666666666666
61.49303332,-6.72441702,10.9,13.366666666666667
61.49296853,-6.72520333,19.566666666666666,0.7
61.49290449,-6.7259722,52.46666666666667,-5.766666666666667
61.49311563,-6.72655751,56.333333333333336,-13.333333333333334
61.49347496,-6.72670981,41.266666666666666,1.9
61.49380865,-6.72706017,54.266666666666666,22.7
61.49415616,-6.72738581,80.4,46.93333333333333
61.49448666,-6.72775746,38.766666666666666,11.533333333333333
61.49481154,-6.72825384,-47.333333333333336,-18.3
61.49501103,-6.7288482,-72.03333333333333,-84.23333333333333
61.49486703,-6.72951004,-23.133333333333333,-60.96666666666667
61.49463066,-6.73010968,11.7,-72.13333333333334
61.49451516,-6.73084653,7.633333333333334,-50.6
61.49434953,-6.73153552,-37.46666666666667,-85.8
61.49408231,-6.73208881,-19.966666666666665,-53.36666666666667
61.49376363,-6.73259315,-30.766666666666666,-66.83333333333333
61.493553,-6.73323588,-29.17241379310345,-21.275862068965516
61.49346298,-6.73399335,-45.833333333333336,-21.5
61.49337446,-6.73477018,-28.466666666666665,-12.6
61.49328897,-6.73554651,-12.533333333333333,0.7333333333333333
61.4932225,-6.73634187,-43.46666666666667,-6.933333333333334
61.49332853,-6.73702315,-19.033333333333335,-14.1
61.49369482,-6.73728735,3.8,15.666666666666666
61.49406832,-6.73744434,-6.166666666666667,8.233333333333333
61.49444517,-6.7375927,-9.366666666666667,35.06666666666667
61.49471448,-6.73716154,5.733333333333333,11.9
61.49477365,-6.73640231,4.266666666666667,-6.4
61.49484247,-6.7356165,4.966666666666667,1.9
61.49494498,-6.73477915,19.766666666666666,-19.933333333333334
61.49504833,-6.73401263,-11.8,-50.1
61.4951547,-6.73323135,-29.5,-45.8
61.4953215,-6.73251352,8.733333333333333,0.03333333333333333
