lat,lon,u,v
62.27669466,-6.73491284,0.0,0.0
62.27669902,-6.73488669,0.0,0.0
62.27670883,-6.7348338,0.0,0.0
62.27671847,-6.73478049,0.0,0.0
62.27672333,-6.73475451,-115.44444444444444,60.111111111111114
62.27673179,-6.73470204,8.5,111.25
62.27674252,-6.73464999,-51.75,114.625
62.27674554,-6.73462266,-85.875,97.125
62.27675602,-6.7345717,-97.71428571428571,127.85714285714286
62.2767623,-6.73451898,-186.14285714285714,119.57142857142857
62.27676918,-6.73446734,-120.57142857142857,114.57142857142857
62.27677446,-6.7344163,-183.28571428571428,135.14285714285714
62.27677437,-6.73439166,-140.42857142857142,187.42857142857142
62.27677597,-6.73434463,-131.71428571428572,225.0
62.2767727,-6.73430113,-109.0,191.85714285714286
62.27677136,-6.73427867,-175.0,190.42857142857142
62.27676515,-6.73423533,-213.57142857142858,192.28571428571428
62.27675702,-6.73419736,-196.57142857142858,195.14285714285714
62.27675216,-6.73418068,-95.71428571428571,228.28571428571428
62.27673984,-6.73415436,-118.14285714285714,241.0
62.27672668,-6.73412981,-103.85714285714286,257.42857142857144
62.27671897,-6.73411882,-42.285714285714285,158.85714285714286
62.27670413,-6.73409418,-102.14285714285714,156.14285714285714
62.2766867,-6.73407733,-163.0,183.28571428571428
62.27667815,-6.73406954,-103.85714285714286,212.42857142857142
62.27665946,-6.73405898,-79.28571428571429,227.0
62.27664068,-6.73404649,-107.14285714285714,207.14285714285714
62.27663063,-6.73404297,-124.42857142857143,205.28571428571428
62.27661168,-6.73403132,-114.0,127.375
62.27659131,-6.73402654,-222.5,101.625
62.27657002,-6.73402034,-183.14285714285714,153.85714285714286
62.27655879,-6.73401883,-194.28571428571428,178.42857142857142
62.27653767,-6.73401346,-185.125,203.875
62.2765163,-6.73400986,-257.625,204.875
62.27650565,-6.73400902,-221.125,220.375
62.27648436,-6.7340045,-218.75,190.0
62.27646248,-6.73399896,-245.875,178.875
62.27644086,-6.73399268,-161.125,144.0
62.2764303,-6.73398949,-151.75,165.75
62.27640918,-6.73398086,-147.875,127.125
62.27638797,-6.73397399,-92.77777777777777,148.33333333333334
62.27637749,-6.73396653,-151.44444444444446,164.66666666666666
62.2763557,-6.73395747,-74.55555555555556,150.22222222222223
62.276335,-6.73394398,-102.55555555555556,195.88888888888889
62.27632469,-6.7339387,-117.88888888888889,177.88888888888889
62.27630398,-6.73392646,-226.11111111111111,159.0
62.2762837,-6.7339107,-209.11111111111111,158.66666666666666
62.27626232,-6.73389654,-262.1111111111111,212.44444444444446
62.27625285,-6.73388581,-186.44444444444446,167.33333333333334
62.27623181,-6.73387114,-237.0,150.77777777777777
62.27621254,-6.73385203,-201.33333333333334,110.44444444444444
62.27620197,-6.73384499,-241.88888888888889,186.11111111111111
62.27618286,-6.73382035,-231.66666666666666,236.88888888888889
62.276163,-6.73379746,-166.22222222222223,163.0
62.27615403,-6.7337843,-205.88888888888889,134.22222222222223
62.27613517,-6.73376201,-230.66666666666666,117.11111111111111
62.27611765,-6.73373653,-194.22222222222223,116.11111111111111
62.27609879,-6.73370903,-220.0,180.33333333333334
62.27608949,-6.73369537,-289.6666666666667,177.0
62.27607063,-6.73366847,-193.88888888888889,196.11111111111111
62.27605236,-6.733645,-180.88888888888889,214.11111111111111
62.2760428,-6.73363267,-207.22222222222223,167.33333333333334
62.27602319,-6.73360803,-130.33333333333334,111.88888888888889
62.27600332,-6.73358247,-174.2,164.1
62.27598203,-6.73356453,-178.9,160.6
62.27597298,-6.73355087,-172.3,188.0
62.27595169,-6.73353218,-142.2,176.7
62.27593132,-6.73351013,-167.2,182.2
62.27592051,-6.73350116,-157.3,229.5
62.2758988,-6.73348247,-182.1,222.0
62.27587701,-6.73346403,-250.1,199.4
62.2758563,-6.73344299,-248.3,142.6
62.27584516,-6.73343553,-186.4,156.4
62.27582403,-6.73341583,-171.5,206.3
62.27580199,-6.73339765,-182.3,219.4
62.27579067,-6.73338918,-133.1,202.5
62.27576947,-6.73336864,-85.6,150.6
62.27574818,-6.73335054,-100.8,201.6
62.2757377,-6.73334082,-149.2,200.7
