lat,lon,u,v
62.2769447,-6.73412419,0.0,0.0
62.27693883,-6.73409804,0.0,0.0
62.27692869,-6.73404414,0.0,0.0
62.27691863,-6.73399134,0.0,0.0
62.27691452,-6.73396301,-96.2,10.8
62.2769048,-6.73391087,-16.8,-55.8
62.27689616,-6.73385764,-79.75,38.5
62.27688518,-6.73381037,-25.5,61.5
62.27687353,-6.73376586,-125.5,79.75
62.27686632,-6.73374617,-0.75,-31.75
62.27685132,-6.73371297,-66.5,29.75
62.27683531,-6.7336828,10.0,30.0
62.27681779,-6.73366302,-61.25,43.0
62.27680053,-6.73364684,-2.5,-0.5
62.27678217,-6.7336408,-13.25,19.75
62.27677303,-6.73363821,-8.0,15.75
62.27675518,-6.73364399,-27.2,112.6
62.27673716,-6.73364868,37.4,31.4
62.27672853,-6.73365816,-97.2,53.0
62.27671,-6.73366436,11.666666666666666,-25.833333333333332
62.27669265,-6.73368003,-46.333333333333336,-52.0
62.27668268,-6.73367869,-28.833333333333332,-18.5
62.27666432,-6.73369369,-98.16666666666667,8.0
62.27664404,-6.73369369,-5.666666666666667,81.5
62.27662384,-6.73369219,-33.0,1.0
62.27661436,-6.73368984,27.571428571428573,47.57142857142857
62.27659349,-6.73368263,-56.142857142857146,-28.142857142857142
62.27657271,-6.73367098,-94.71428571428571,-24.714285714285715
62.27656181,-6.73366335,8.714285714285714,-0.42857142857142855
62.27654136,-6.73364583,-130.0,-4.714285714285714
62.27651965,-6.73362697,-0.42857142857142855,-51.857142857142854
62.27650867,-6.73361985,-54.42857142857143,-50.57142857142857
62.27648696,-6.73359563,-70.42857142857143,21.571428571428573
62.27646399,-6.73357752,-100.71428571428571,-28.857142857142858
62.27644119,-6.73356118,37.42857142857143,-15.857142857142858
62.27641747,-6.73354114,-107.85714285714286,-57.0
62.27640465,-6.73353603,-20.75,13.375
62.27638034,-6.7335248,-105.85714285714286,-71.42857142857143
62.2763552,-6.73351784,-10.5,-2.25
62.27634254,-6.733516,-66.42857142857143,25.142857142857142
62.27631781,-6.73350435,54.285714285714285,103.0
62.27629183,-6.73350452,-51.5,111.75
62.27626635,-6.73350351,180.125,13.875
62.27625386,-6.73350317,-2.875,-7.25
62.27622787,-6.7334958,53.875,3.75
62.27620197,-6.7334937,-24.25,-11.125
62.27618915,-6.73348918,-4.5,27.5
62.27616333,-6.73349253,38.375,46.5
62.27613802,-6.73348716,-92.0,-70.125
62.2761257,-6.73348599,-5.0,-11.625
62.2760993,-6.73347903,-153.66666666666666,112.11111111111111
62.27607348,-6.7334668,-25.0,5.222222222222222
62.27606032,-6.73347048,-126.44444444444444,59.333333333333336
62.2760345,-6.73345699,-82.66666666666667,-20.333333333333332
62.27600835,-6.73345498,-112.0,-73.66666666666667
62.27599603,-6.73344735,-44.55555555555556,-63.111111111111114
62.27596963,-6.73344081,-171.11111111111111,-15.11111111111111
62.27594465,-6.73342497,-45.44444444444444,-45.22222222222222
62.27591883,-6.73342019,-68.6,19.9
62.27590702,-6.73340653,2.7,-1.9
62.27588086,-6.73339664,-25.5,9.1
62.27585731,-6.73337367,-3.8,-9.8
62.27584415,-6.7333668,-39.3,33.5
62.27582152,-6.73334182,-51.888888888888886,37.22222222222222
62.27579663,-6.73332171,-78.2,-0.8
62.27577198,-6.73329815,-36.22222222222222,19.0
62.27575933,-6.73328684,-2.4,-75.4
62.27573653,-6.73326002,-70.4,29.4
62.27571247,-6.73323504,-57.3,5.4
62.27570015,-6.73322179,-42.7,-18.4
62.27567567,-6.73319464,-36.2,-15.8
62.2756507,-6.7331715,-36.6,-70.0
62.27563896,-6.7331565,10.0,-59.7
62.27561398,-6.73313504,-17.6,21.8
62.27558968,-6.73310948,-104.5,31.7
62.27556487,-6.73308332,-61.1,7.7
62.27555213,-6.73307167,-152.0,10.555555555555555
62.27552748,-6.73304787,-66.2,38.5
62.27550334,-6.73302297,-60.8,19.6
62.27549085,-6.7330135,-28.5,-23.1
62.27546554,-6.7329907,-157.8,-13.6
62.27543964,-6.73297436,-3.2,-20.7
62.27542749,-6.73296187,-109.9,-17.9
62.27540217,-6.73294184,-99.7,48.9
62.2753772,-6.73292449,-62.6,2.9
62.27536471,-6.73291451,-79.5,-52.0
62.27533914,-6.73290052,-113.1,20.8
62.27531366,-6.73288082,-43.5,-64.0
62.27530134,-6.73287537,-79.7,-42.4
62.27527519,-6.7328612,-27.3,-34.6
62.2752487,-6.73285483,-71.36363636363636,-59.72727272727273
62.2752363,-6.73284553,13.727272727272727,41.36363636363637
62.27520998,-6.73283866,-53.90909090909091,52.27272727272727
62.27518433,-6.7328255,-18.272727272727273,28.272727272727273
62.27515767,-6.73282181,-101.72727272727273,59.09090909090909
62.27514485,-6.73281737,-70.81818181818181,130.63636363636363
62.27511819,-6.73281837,-8.454545454545455,84.63636363636364
62.27509179,-6.73281519,-31.09090909090909,30.90909090909091
62.27507863,-6.7328167,-129.1818181818182,44.27272727272727
62.27505198,-6.73281552,-58.09090909090909,29.545454545454547
62.27502583,-6.73281896,-68.0,-15.0
62.27500102,-6.73281418,-134.54545454545453,11.272727272727273
62.27498786,-6.73281787,-137.8181818181818,32.18181818181818
62.27496296,-6.73280815,-172.0909090909091,7.909090909090909
62.27493782,-6.73280152,-134.72727272727272,50.72727272727273
62.27492516,-6.73279683,-81.18181818181819,15.0
