lat,lon,u,v
61.50314516,-6.73841581,9.363636363636363,8.5
61.50313368,-6.73840298,-37.833333333333336,10.1
61.50311398,-6.73823853,-23.7,7.466666666666667
61.50315832,-6.73777283,21.633333333333333,4.666666666666667
61.50314533,-6.73718652,17.633333333333333,-0.13333333333333333
61.50307886,-6.73654103,15.566666666666666,-11.333333333333334
61.5029813,-6.73587098,25.9,11.933333333333334
61.50293402,-6.7351793,5.2,25.733333333333334
61.50293947,-6.73448,40.63333333333333,15.2
61.50293687,-6.73378053,29.933333333333334,45.13333333333333
61.50290586,-6.73308047,42.06666666666667,38.96666666666667
61.50286898,-6.73234647,52.9,52.8
61.50283202,-6.73163602,84.56666666666666,69.6
61.50279564,-6.7309218,74.86666666666666,82.96666666666667
61.50275465,-6.73022166,96.83333333333333,89.96666666666667
61.50272682,-6.72951833,73.93333333333334,72.2
61.50271718,-6.72880663,96.8,89.13333333333334
61.50268634,-6.72810682,49.833333333333336,48.96666666666667
61.50261668,-6.72741137,54.56666666666667,82.33333333333333
61.502542,-6.7267347,75.6,95.06666666666666
61.50245986,-6.726067,79.36666666666666,90.53333333333333
61.50243815,-6.72541497,100.2,83.96666666666667
61.50245332,-6.72472849,78.8,96.03333333333333
61.50243765,-6.72401151,72.66666666666667,79.1
61.5023923,-6.72331883,93.96666666666667,92.56666666666666
61.50234469,-6.72261517,101.73333333333333,107.13333333333334
61.50229683,-6.72193137,96.96666666666667,114.4
61.50222299,-6.72123333,79.13333333333334,123.53333333333333
61.50219717,-6.7205217,60.86666666666667,129.4
61.50218904,-6.71984687,99.06666666666666,183.7
61.50213632,-6.71913316,105.33333333333333,177.0
61.50208334,-6.71846017,67.56666666666666,173.13333333333333
61.50204353,-6.71773799,47.5,179.53333333333333
61.50185184,-6.71742048,51.13333333333333,153.66666666666666
61.50159996,-6.71752048,45.733333333333334,146.06666666666666
61.50136602,-6.71715897,43.733333333333334,86.43333333333334
61.50125169,-6.71652965,-10.833333333333334,117.26666666666667
61.50106017,-6.71596035,-10.233333333333333,86.1
61.50075917,-6.7156778,-42.233333333333334,85.43333333333334
61.50045013,-6.71572968,-15.9,99.83333333333333
61.50011469,-6.71576581,31.333333333333332,54.166666666666664
61.49989483,-6.71531235,13.633333333333333,69.46666666666667
61.4996287,-6.71517866,-72.65517241379311,77.20689655172414
61.49953784,-6.71569037,-87.46666666666667,129.1
61.49946886,-6.71629479,-54.96666666666667,162.0
61.49940248,-6.71695746,-120.06666666666666,136.46666666666667
61.49925437,-6.717596,-119.7,89.93333333333334
61.49909587,-6.71827066,-73.53333333333333,132.36666666666667
61.49895648,-6.71895781,-119.93333333333334,88.83333333333333
61.49880996,-6.71961235,-110.33333333333333,107.6
61.49867032,-6.72023487,-140.56666666666666,74.1
61.49852883,-6.72090031,-60.827586206896555,37.310344827586206
61.49840101,-6.72154798,-55.63333333333333,74.7
61.49826463,-6.72220521,-56.06666666666667,41.833333333333336
61.49815165,-6.72283452,-62.3,42.2
61.4983358,-6.72332704,-28.533333333333335,70.56666666666666
61.49857904,-6.72373113,-5.233333333333333,85.93333333333334
61.49880066,-6.72422198,2.466666666666667,50.766666666666666
61.4990387,-6.72468449,-102.16666666666667,124.13333333333334
61.49928513,-6.72513351,13.7,34.733333333333334
61.49951831,-6.72562687,16.8,21.966666666666665
61.49974932,-6.72611813,-11.4,35.43333333333333
61.50002098,-6.72651518,-12.033333333333333,44.2
61.50018216,-6.72699714,-17.066666666666666,28.866666666666667
61.50000681,-6.72742286,-67.83333333333333,2.033333333333333
61.49981679,-6.72797581,-20.566666666666666,22.633333333333333
61.49959719,-6.72850647,-6.4,-8.6
61.49937079,-6.72907569,13.233333333333333,-2.3
61.49913903,-6.72914551,6.533333333333333,16.3
61.49894013,-6.72871769,24.2,-19.0
61.49871348,-6.72824034,12.833333333333334,1.4333333333333333
61.49851517,-6.72771597,24.666666666666668,-19.466666666666665
61.49827637,-6.72721147,4.9,-16.8
61.49801997,-6.7267363,-11.566666666666666,-31.933333333333334
61.49774353,-6.72630513,-37.7,-31.0
61.49750004,-6.72580113,-21.466666666666665,25.8
61.49726082,-6.72529813,-50.63333333333333,41.36666666666667
61.49697416,-6.72480452,-41.233333333333334,11.233333333333333
61.49670736,-6.72433765,-55.3,4.9
61.49647451,-6.72384068,-19.20689655172414,16.482758620689655
61.4962513,-6.72333769,10.1,16.766666666666666
61.49599146,-6.72290786,17.333333333333332,60.9
61.4957307,-6.72248248,3.533333333333333,20.266666666666666
61.49549148,-6.72198753,21.633333333333333,76.8
61.49529568,-6.72142116,48.13333333333333,72.4
61.49531529,-6.72082437,18.266666666666666,54.03333333333333
61.495524,-6.72035281,6.666666666666667,74.13333333333334
61.495667,-6.71974336,88.06666666666666,99.63333333333334
61.49576565,-6.71906719,93.43333333333334,133.06666666666666
61.4958628,-6.71834987,41.3,32.1
61.49598853,-6.71767118,-45.06666666666667,-7.4
61.49612297,-6.71704648,-113.53333333333333,-6.8
61.49620302,-6.7163512,-130.16666666666666,-9.166666666666666
61.49626832,-6.71565064,-105.06666666666666,-10.766666666666667
61.4964145,-6.71504782,-128.36666666666667,-4.966666666666667
61.4965362,-6.71444834,-201.0,4.2
61.49661868,-6.71380587,-227.13333333333333,31.7
61.49678481,-6.71324537,-334.8333333333333,47.53333333333333
61.49688782,-6.71271396,-372.6,113.43333333333334
61.49668766,-6.71253936,-345.1666666666667,20.6
61.49641567,-6.71232864,-136.7,116.43333333333334
61.49620268,-6.71184015,-109.5,134.43333333333334
61.49592784,-6.71154787,-48.5,23.9
61.49562651,-6.71120371,16.066666666666666,7.433333333333334
61.49531186,-6.71091797,20.433333333333334,79.66666666666667
61.49500332,-6.71063432,-5.533333333333333,-57.5
61.49470534,-6.71032101,110.76666666666667,-20.133333333333333
61.4944077,-6.71001021,143.96666666666667,-38.96666666666667
61.49425934,-6.71035253,145.9,-40.93333333333333
61.49423135,-6.710937,176.23333333333332,-19.1
61.49417234,-6.71161685,154.36666666666667,-87.5
61.49413437,-6.71226167,87.83333333333333,-52.86666666666667
61.49407913,-6.71290465,166.89655172413794,-64.55172413793103
61.49401618,-6.71354452,119.9,-103.0
61.49393546,-6.7141823,124.5,-59.36666666666667
61.49389263,-6.71483232,121.83333333333333,-58.833333333333336
61.49387696,-6.71554931,120.0,-27.666666666666668
61.49384167,-6.71621935,138.0,-70.96666666666667
61.49377964,-6.71687499,149.2,-6.733333333333333
61.49373312,-6.71754898,117.06666666666666,41.1
